SID,Source,NH3,SO2,NOx,PM2.5,pNOx
_01_01_,Small_Power_Gas,0,10.54287101,3.558101813,4.56441253,4.113613147
_02_01_,Small_Power_Landfill,0,5.362319855,1.868780279,6.012783513,6.010870965
_03_01_,Small_Power_Other,2.978676978,2.56872699,1.239803891,5.741999058,6.72170476
_04_01_,Off-shore_Oil_&_Gas,0,0.979883569,0.155921952,0.134852395,0.162909936
_05_01_,Refineries_Combustion,0,1.106666052,0.972949554,5.650741535,5.793570884
_06_01_,Other_SNAP01,0,2.611680072,0.596349957,5.065271116,2.623939811
_07_02_,Domestic_Combustion_Coal,9.783909445,3.262097267,1.329920221,12.62735344,12.63112819
_08_02_,Domestic_Combustion_Gas,0,0,1.713289846,67.89601234,67.90154434
_09_02_,Domestic_Combustion_Oil,0,2.90645495,1.14533188,14.49711129,14.4995479
_10_02_,Domestic_Combustion_Wood,3.932913104,4.016164093,1.579681987,22.1553039,22.15997837
_11_02_,Public_Sector_Combustion,0,4.821572009,1.207093503,45.05621131,46.53924431
_12_02_,Combined_Heat_&_Power,0,0,0,0,0
_13_03_,Cement_30311_40617,1.496674473,4.222657151,1.268240938,6.257356503,7.368008466
_14_03_,Iron_&_Steel_Combustion,0,1.668088367,1.07748522,8.195302628,6.705778938
_15_03_,Lime_30312,0,4.888197836,1.294377037,6.257731592,7.277869031
_16_03_,Ammonia_30205,0,0,0.955066922,0,8.338432122
_17_03_,Auto-generators,0,0,1.253353943,35.60668984,35.60882754
_18_03_,Blast_Furnaces_30203_40202,0,0.938001125,0.838569058,3.860995501,3.861078541
_19_03_,Sinter_30301_402,0,1.009797082,0.906932352,4.164090166,4.164620992
_20_03_,Lead_30307,0,4.393980393,0,10.57526872,0
_21_03_,Other_Ind_Comb,7,3.300864144,1.047264812,8.361534756,9.579151673
_22_04_,Bricks_40617,0,1.30980981,0,11.17158071,0
_23_04_,Quarries,0,0,0,5.827922452,0
_24_04_,Refineries_Process,2.603664919,0,0,0,0
_25_04_,Chemical_Industry,5.196557182,2.885559355,1.132209696,9.007458344,9.506998223
_26_04_,Animal_Feed,0,0,0,0,0
_27_04_,Bread_Baking,0,0,0,0,0
_28_04_,Other_Food,0,0,0,0,0
_29_04_,Brewing,0,0,0,0,0
_30_04_,Spirits,0,0,0,0,0
_31_04_,Iron&Steel_Stockpiles,0,0,0,29.05373085,0
_32_04_,Other_SNAP04,1.470072,3.10257703,1.098237137,9.565023522,10.71473374
_33_05_,Extraction_Fossil_Fuels,0,0.119616045,0.106562402,0.037427139,0.037911624
_34_05_,Gas_Leakage,0,0,0,0,0
_35_05_,Petrol_Stations,0,0,0,0,0
_36_05_,Refineries_Ship_Loading_Purging,0,0,0,0,0
_37_06_,Adhesives,0,0,0,0,0
_38_06_,Aerosols,0,0,0,0,0
_39_06_,Cleaning,0,0,0,0,0
_40_06_,Decorative_Paint,0,0,0,0,0
_41_06_,Industrial_Coatings,0,0,0,35.04979514,0
_42_06_,Non_Aerosols,4.016327803,0,0,0,0
_43_06_,Printing,0,0,0,0,0
_44_06_,Road_Dressings,0,0,0,0,0
_45_06_,Other_SNAP06,0,0,0,0,0
_46_07_,Road_Transport_Petrol_Cars,5.819971514,6.179431631,1.55806601,36.16218901,45.75730004
_47_07_,Road_Transport_Diesel_Cars,5.717039261,6.132036727,1.460896737,33.89466596,34.25409351
_48_07_,Road_Transport_LGV,5.054803304,5.646007186,1.35885537,26.53171013,25.74347374
_49_07_,Road_Transport_HGV,6.10795156,6.226300743,1.565702871,27.13036086,38.61006252
_50_07_,Road_Transport_Bus,15.89341408,11.09579044,1.610256572,49.63618582,51.72676117
_51_08_,Ships_AtBerth,0,2.019254145,1.098968298,22.89639321,20.2671341
_52_08_,Ships_National_ECA,0,0.806858723,0.807656562,4.986107356,5.016357504
_53_08_,Airports_Ground_Movement,0,0,0,0,0
_54_08_,Airports_Takeoff_Landing,0,6.801148166,1.950779308,12.79210718,13.43604636
_55_08_,Airport_Ground_Support_Vehicles,5.489460921,7.129174221,1.540619612,22.41170173,22.40024974
_56_08_,Rail_Freight,0,5.2736382,1.362771893,14.51189433,14.52105857
_57_08_,Rail_Intercity,0,7.409647766,1.484607419,15.5864628,15.58483694
_58_08_,Rail_Regional,0,7.088262752,1.384231337,18.27983216,18.2839234
_59_08_,Agricultural_off-road_transport,0.849878982,3.302379177,0.902555303,8.111441447,8.110864919
_60_08_,Industrial_off-road_transport,4.759798128,6.021742063,1.468645151,38.37912326,38.37628969
_61_08_,Residential_off-road_transport,1.921030287,8.402571798,1.414733819,41.69136546,41.69748094
_62_09_,Waste_Burning,0,0,1.324010311,39.20233708,31.61552945
_63_09_,Waste_Landfill,3.312962285,0,0,0,0
_64_09_,Incinerators&Crematoria,6.858092395,8.237563395,1.718787886,11.17245844,10.8660645
_65_09_,Composting_NH3,4.785863572,0,0,0,0
_66_09_,Anaerobic_Digestion,0.951571191,0,0,0,0
_67_10_,Beef,0.69524148,0,0.838347603,6.384877103,6.440416203
_68_10_,Dairy,0.811703334,0,0.914381503,7.526092993,7.437499638
_69_10_,Pigs,1.319854056,0,1.037995608,7.322448001,7.399540782
_70_10_,Layers,1.046288156,0,0.956439414,8.714279808,9.109915836
_71_10_,Other_Poultry,1.108404214,0,0.993143307,8.660520238,8.335670602
_72_10_,Sheep,0.68584653,0,0.85025712,0,0
_73_10_,Other_Livestock,1.930790692,0,1.040143178,0,0
_74_10_,Fertiliser,1.800888402,0,0.937973626,9.459161459,8.418295919
_75_11_,Natural_SNAP11,3.927139697,0,1.301549811,36.95695809,31.56809795
_76_08_,Ships_National_NONECA,0,1.436864092,1.121509866,3.69232143,3.667946579
_77_08_,Ships_International_ECA,0,0.693326658,0.739124709,1.31753047,1.2900378
_78_08_,Ships_International_NONECA,0,0.343518743,0.56245129,0.140876145,0.140818438
