Year,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Car - Petrol,15578870,15708031,15858215,15808553.5,15704139.5,15555681,15328049.5,14991605,14535022.5,13930618.5,13170135,12234014,11130923.5,9894872.5,8407473.5,6844425,5308657.5,3906322.5,2734803.5,1799979,1113073.5,607595,277933.5,47850,0,0,0,0,0,0,0,0,0,0
Car - Diesel,15578870,15708031,15858215,15808553.5,15704139.5,15555681,15328049.5,14991605,14535022.5,13930618.5,13170135,12234014,11130923.5,9894872.5,8407473.5,6844425,5308657.5,3906322.5,2734803.5,1799979,1113073.5,607595,277933.5,47850,0,0,0,0,0,0,0,0,0,0
Car - PHEV - (Petrol),41293,60588.13057,76127.39306,106341.2347,153956.2159,178360.698,205911.9268,235724.5379,268015.2435,303988.5136,342719.2974,385300.9851,430830.8432,479228.1285,519378.5224,558929.1141,599471.0002,639587.0771,617209.5634,576911.2465,524521.4019,488198.6316,448978.8414,405293.7344,358335.3204,306651.8345,251493.2267,192821.0871,142342.6313,92539.92968,40701.50199,0,0,0
Car - PHEV - (Diesel),41293,60588.13057,76127.39306,106341.2347,153956.2159,178360.698,205911.9268,235724.5379,268015.2435,303988.5136,342719.2974,385300.9851,430830.8432,479228.1285,519378.5224,558929.1141,599471.0002,639587.0771,617209.5634,576911.2465,524521.4019,488198.6316,448978.8414,405293.7344,358335.3204,306651.8345,251493.2267,192821.0871,142342.6313,92539.92968,40701.50199,0,0,0
Car - H2 Fuel Cell,68,104,183,217,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,218.2067066,216.6822739,214.9544315,213.7202682,211.9839137,209.7003134,206.8774709,203.5857911,199.1679453,194.1370745
Car - Battery Electric,50687,68407,105287,210231,400490,724266,1195109,1873675,2784493,3982030,5484748,7328925,9497995,11922796,14859717,17935777,20940993,23665593,26039106.31,27966002.51,29406012.2,30426256.74,31072994.32,31497900.53,31529048.15,31433573.65,31299838.59,31122771.11,30873489.75,30545514.44,30139997.12,29667062.41,29032182.83,28309150.86
LGV - Petrol,1945549.5,1997938,2056135,2101876,2100643.899,2095142.933,2085361.617,2068339.964,2041373.491,2000193.711,1939274.138,1851709.789,1731950.676,1569914.316,1365347.722,1130462.91,880437.3944,655302.1897,429251.3111,258980.2734,146232.0915,78876.28037,41393.85497,21408.8303,10984.22139,5577.043301,2737.31111,1181.539937,241.7449238,0,0,0,0,0
LGV - Diesel,1945549.5,1997938,2056135,2101876,2100643.899,2095142.933,2085361.617,2068339.964,2041373.491,2000193.711,1939274.138,1851709.789,1731950.676,1569914.316,1365347.722,1130462.91,880437.3944,655302.1897,429251.3111,258980.2734,146232.0915,78876.28037,41393.85497,21408.8303,10984.22139,5577.043301,2737.31111,1181.539937,241.7449238,0,0,0,0,0
LGV - PHEV - (Petrol),414.5,521.5,295.5,452,522,611.5,728.5,880.5,1036.5,1239,1444.5,1711.5,1979,2337,2702,3057,3381,3654.5,3129.213742,2424.489224,2318.484443,2179.908362,1999.877897,1815.109788,1575.266569,1331.870118,1015.632393,698.8024631,274.7833414,0,0,0,0,0
LGV - PHEV - (Diesel),414.5,521.5,295.5,452,522,611.5,728.5,880.5,1036.5,1239,1444.5,1711.5,1979,2337,2702,3057,3381,3654.5,3129.213742,2424.489224,2318.484443,2179.908362,1999.877897,1815.109788,1575.266569,1331.870118,1015.632393,698.8024631,274.7833414,0,0,0,0,0
LGV - H2 Fuel Cell,4,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,44.0867212,93.28472179,157.3427639,239.5016869,346.9643457,487.0279685,669.9861553,909.9285383,1228.658432,1645.427057,2201.820721,2907.882951,3777.856042,4910.425671,6382.210995,8296.594912
LGV - Battery Electric,6217,7353,10390,15716,26066,44932,72319,114132,175842,265901,395449,578179,825313,1156836,1573421,2050678,2558294,3016246,3477604.486,3827766.737,4061686.688,4204884.682,4288409.28,4336931.752,4366416.481,4385832.331,4400196.077,4411910.968,4422484.613,4431230,4438794.432,4446112.312,4453107.05,4459675.294
HGV - Natural Gas,384,452,618,823,1079,1400,1802,2306,2941,3740,4745,6012,7608,9618,12147,15329,19319,24306,25652,27240,29116,31308,33836,32838,31603,30090,28236,25961,23171,19749,15488,10277,3861,1
HGV - Diesel,498934,499787,500787,484991,499243,499378,499266,498811,497881,496287,493761,489912,484192,475831,463772,446610,422592,389737,351938,310240,264326,214665,162905,112058,62507,23053,0,0,0,0,0,0,0,0
HGV - PHEV - (Diesel),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGV - H2 Fuel Cell,0,0,0,0,180,391,628,897,1198,1533,1906,2321,2782,3293,3860,4489,5187,5959,6786,7525,8234,8979,9864,11096,12983,15933,20272,21436,23218,25457,28081,31073,34458,38158
HGV - Battery Electric,35,48,72,88,278,564,991,1629,2581,4000,6110,9241,13870,20677,30609,44931,65233,93303,129905,170255,214564,262270,311601,363200,413086,452092,473650,475756,477759,479940,482575,485794,489827,490993
Bus - Natural Gas,317,361,423,459,518,583,654,732,818,912,1016,1130,1255,1393,1544,1710,1892,2092,2022.312214,1947.15872,1866.539517,1777.72175,1680.705421,1574.124102,1456.611365,1328.167211,1186.058785,1030.286088,859.4826911,670.9157413,464.5852384,237.7583279,0,0
Bus - Diesel,157795,154220,151007,135425,139588,139121,138742,138023,136922,135341,133171,130293,126582,121913,116211,109386,101479,92578,83149,73174,63102,53280,43989,35407,27301,20330,14404,9773,5767,2676,0,0,0,0
Bus - PHEV - (Diesel),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus - H2 Fuel Cell,15,12,68,112,195,291,348,418,498,589,693,811,944,1094,1262,1450,1659,1892,2150,2436,2752,3101,3485,3908,4374,4886,5447,6060,6732,7465,8256.835444,9004.005795,9843.52875,10758.84014
Bus - Battery Electric,305,397,476,753,1471,2443,3363,4607,6218,8293,10937,14268,18410,23483,29561,36730,44948,54121,64070,74546,85097,95377,105103,114094,122579,129899,136141,141054,145301,148593,151432.5793,151665.2359,151819.4713,151664.1599
Motorcycle - Petrol,1232493,1241208,1247370,1269030,1287173.2,1304201.658,1319624.209,1332779.808,1342845.533,1348761.585,1349211.291,1342629.107,1327196.62,1300990.548,1262181.746,1209376.206,1142049.06,1060993.582,968608.1911,868804.455,766434.0902,666339.9661,572372.1076,486775.6978,410116.0804,341650.763,279871.4196,222985.8935,169236.2008,117067.5327,65168.25911,12466.93144,0,0
Motorcycle - H2 Fuel Cell,6,6,6,6,678,1486,2451,3613,4988,6607,8507,10715,13291,16289,19771,23805,28470,33855,40059,47194,55385,64772,75511,87774,101750,117646,135687,156116,179193,205191,234397,267105,297684.9584,329550.9889
Motorcycle - Battery Electric,174,515,1613,2964,6429,11263,17943,27097,39539,56305,78682,108216,146673,195930,257762,333503,423607,527200,641793,763371,886966,1007604,1121288,1225610,1319825,1404478,1480862,1550536,1615008,1675570,1733257,1788857,1806974.328,1811973.258
